city_from,city_to
Москва,Москва
Москва,Санкт-Петербург
Санкт-Петербург,Москва
Санкт-Петербург,Санкт-Петербург
Москва,Краснодар
Москва,Екатеринбург
Москва,Новосибирск
Москва,Ростов-на-Дону
Москва,Владивосток
Москва,Нижний Новгород
Новосибирск,Москва
Москва,Казань
Екатеринбург,Москва
Москва,Воронеж
Москва,Сочи
Москва,Хабаровск
Краснодар,Москва
Москва,Калининград
Москва,Самара
Москва,Челябинск
Москва,Красноярск
